CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual;PrazoProducao
30.10.10.12.0066;FITA PP AA 40 TR 144X1200 - M;1200;144;172,8;;103,8115875;Fita PP;33;10
30.10.10.12.0078;FITA PP AA 40 TR 072X050 - PERSONALIZADA;50;72;3,6;;2,43483248;Fita PP;33;10
30.10.10.12.0091;FITA PP AA 40 TR 036X090 - M;90;36;3,24;;2,121191239;Fita PP;33;10
30.10.10.12.0101;FITA PP AA 40 TR 024X050 - PERSONALIZADA;50;24;1,2;;0,811610827;Fita PP;33;10
30.10.10.12.0102;FITA PP AA 40 TR 024X100 - PERSONALIZADA;100;24;2,4;;1,564232208;Fita PP;33;10
30.10.10.12.0105;FITA PP AA 40 TR 036X100 - PERSONALIZADA;100;36;3,6;;2,346348312;Fita PP;33;10
30.10.10.12.0108;FITA PP AA 40 TR 048X040 - PERSONALIZADA;40;48;1,92;;1,271720289;Fita PP;33;10
30.10.10.12.0110;FITA PP AA 40 TR 048X045 - PERSONALIZADA;45;48;2,16;;1,415544012;Fita PP;33;10
30.10.10.12.0111;FITA PP AA 40 TR 048X050 - PERSONALIZADA;50;48;2,4;;1,559367736;Fita PP;33;10
30.10.10.12.0128;FITA PP AA 40 TR 072X090 - PERSONALIZADA;90;72;6,48;;4,242382478;Fita PP;33;10
30.10.10.12.0139;FITA PP AA 40 TR 045X040 - PERSONALIZADA;40;45;1,8;;1,24622142;Fita PP;33;10
30.10.10.12.0140;FITA PP AA 40 TR 045X045 - PERSONALIZADA;45;45;2,025;;1,386944591;Fita PP;33;10
30.10.10.12.0141;FITA PP AA 40 TR 045X100 - PERSONALIZADA;100;45;4,5;;2,939789522;Fita PP;33;10
30.10.10.12.0161;FITA PP AA 40 TR 024X090 - M;90;24;2,16;;1,414127493;Fita PP;33;10
30.10.10.13.0071;FITA PP AR9 45 AM 024X050 - M;50;24;1,2;;1,007372107;Fita PP;33;10
30.10.10.13.0073;FITA PP AR9 45 AM 048X050 - M;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.13.0074;FITA PP AR9 45 AM 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
30.10.10.13.0087;FITA PP AR9 45 AM 144X1000 - M;1000;144;144;;110,2186397;Fita PP;33;10
30.10.10.14.0080;FITA PP AR9 45 AZ 024X100 - M;100;24;2,4;;1,955754768;Fita PP;33;10
30.10.10.14.0081;FITA PP AR9 45 AZ 048X050 - M;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.14.0082;FITA PP AR9 45 AZ 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
30.10.10.15.0086;FITA PP AR9 45 BR 048X050 - M;50;48;2,4;;1,950890296;Fita PP;33;10
30.10.10.15.0087;FITA PP AR9 45 BR 048X100 - M;100;48;4,8;;3,784845701;Fita PP;33;10
