CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual
30.20.10.43.0002;"STRETCH FIL 3"" 500X23 MAQ LC3 CORELESS (8KG)";KG;Bruto;0;8;6,555048735;Stretch;12
30.20.10.43.0003;"STRETCH FIL 3"" 500X30 MAQ LC3 CORELESS (8KG)";KG;Bruto;0;8;6,555048735;Stretch;12
30.20.10.45.0001;"STRETCH FIL. 3""750X23 MAQ ATX/21,3";KG;Bruto;2,4;21,3;5,919471054;Stretch;12
30.20.10.45.0002;"STRETCH FIL. 3""750X23 MAQ ATX/21,3 LIQUIDO";KG;Liq;2,4;21,3;5,919471054;Stretch;12
30.20.10.45.0003;"STRETCH FIL. 3""750X30 MAQ ATX/21,3";KG;Bruto;2,4;21,3;5,919471054;Stretch;12
30.20.10.47.0001;"STRETCH FIL. 3""500X17 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;14;5,957375203;Stretch;12
30.20.10.47.0002;"STRETCH FIL. 3""500X30 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;14;5,824177098;Stretch;12
30.20.10.47.0003;"STRETCH FIL. 3""500X23 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;14;5,824177098;Stretch;12
30.20.10.47.0004;"STRETCH FIL. 3""500X40 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;14;5,824177098;Stretch;12
30.20.10.47.0005;"STRETCH FIL. 3""500X19 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;14;5,869552277;Stretch;12
30.20.10.49.0001;"STRETCH FIL. 2""500X17 MANUAL LC3";KG;Bruto;0,4;2,8;6,35128862;Stretch;12
30.20.10.49.0003;"STRETCH FIL. 2""500X23 MANUAL LC3";KG;Bruto;0,4;2,8;6,218090515;Stretch;12
30.20.10.49.0005;"STRETCH FIL. 2""500X19 MANUAL  LC3 1,5KG EXPO";KG;Bruto;0,4;1,5;6,160253925;Stretch;12
30.20.10.50.0001;"STRETCH FIL 3"" 500X19 MAN CORELESS LC3";KG;Bruto;0;3,5;6,600423913;Stretch;12
30.20.10.50.0004;"STRETCH FIL 3"" 500X17 MAN CORELESS LC3";KG;Bruto;0;3,5;6,688246839;Stretch;12
30.20.10.50.0002;"STRETCH FIL 3"" 500X23 MAN CORELESS LC3";KG;Bruto;0;3,5;6,555048735;Stretch;12
30.20.10.50.0009;"STRETCH FIL 3"" 450X10 PREESTIRADO CORELESS LC3 2KG";KG;Bruto;0;2;6,621332252;Stretch;12
30.20.10.50.0003;"STRETCH FIL 3"" 500X30 MAN CORELESS LC3";KG;Bruto;0;3,5;6,555048735;Stretch;12
30.20.10.51.0001;"STRETCH FIL. 2""166X30 CORTADO LC3";KG;Bruto;0,13;0,95;6,211156852;Stretch;12
30.20.10.51.0002;"STRETCH FIL. 2""100X23 CORTADO LC3";KG;Bruto;0,1;0,54;6,17085644;Stretch;12
30.20.10.52.0001;"STRETCH FIL. 3""100X23 CORTADO (MAN) LC3";KG;Bruto;0,24;0,9;6,102930746;Stretch;12
30.20.10.52.0003;"STRETCH FIL. 3""150X23 CORTADO (MAN) LC3";KG;Bruto;0,36;1,35;6,102930746;Stretch;12
30.20.10.52.0004;"STRETCH FIL. 3""150X30 CORTADO (MAN) LC3";KG;Bruto;0,36;1,35;6,102930746;Stretch;12
30.20.10.52.0002;"STRETCH FIL. 3""150X19 CORTADO (MAN) LC3";KG;Bruto;0,36;1,35;6,148305925;Stretch;12
30.20.10.52.0006;"STRETCH FIL. 3""200X23 CORTADO (MAN) LC3";KG;Bruto;0,48;1,8;6,102930746;Stretch;12
30.20.10.52.0007;"STRETCH FIL. 3""200X30 CORTADO (MAN) LC3";KG;Bruto;0,48;1,8;6,102930746;Stretch;12
30.20.10.52.0008;"STRETCH FIL. 3""250X23 CORTADO (MAN) LC3";KG;Bruto;0,6;2,25;6,102930746;Stretch;12
30.20.10.52.0023;"STRETCH FIL. 3""250X23 CORTADO (MAN) LC3 - AZUL";KG;Bruto;0,6;2,25;6,263090814;Stretch;12
30.20.10.52.0009;"STRETCH FIL. 3""250X30 CORTADO (MAN) LC3";KG;Bruto;0,6;2,25;6,102930746;Stretch;12
30.20.10.52.0012;"STRETCH FIL. 3""050X23 CORTADO (MAN) LC3";KG;Bruto;0,12;0,45;6,102930746;Stretch;12
30.20.10.52.0017;"STRETCH FIL. 3""050X40 CORTADO (MAN) LC3";KG;Bruto;0,12;0,45;6,102930746;Stretch;12
30.20.10.52.0013;"STRETCH FIL. 3""050X30 CORTADO (MAN) LC3";KG;Bruto;0,12;0,45;6,102930746;Stretch;12
30.20.10.52.0014;"STRETCH FIL. 3""075X23 CORTADO (MAN) LC3";KG;Bruto;0,18;0,68;6,104565322;Stretch;12
30.20.10.52.0019;"STRETCH FIL. 3""100X30 CORTADO (MAN) LC3";KG;Bruto;0,24;0,9;6,102930746;Stretch;12
30.20.10.52.0020;"STRETCH FIL. 3""250X23 CORTADO (MAN) LC3 5KG";KG;Bruto;0,6;5;6,225196995;Stretch;12
30.20.10.54.0001;"STRETCH FIL. 3""500X19 MAN GOLD LIQ C/ RET LC3";KG;Liq;1,1;4;6,153306979;Stretch;12
30.20.10.55.0001;"STRETCH FIL. 3""500X17 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,368301549;Stretch;12
30.20.10.55.0002;"STRETCH FIL. 3""500X19 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,280478622;Stretch;12
30.20.10.55.0003;"STRETCH FIL. 3""500X23 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,235103444;Stretch;12
30.20.10.55.0004;"STRETCH FIL. 3""500X30 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,235103444;Stretch;12
30.20.10.55.0005;"STRETCH FIL. 3""500X15 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,70784949;Stretch;12
30.20.10.55.0006;"STRETCH FIL. 3""500X25 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,235103444;Stretch;12
30.20.10.55.0008;"STRETCH FIL. 3""500X40 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,9;6,235103444;Stretch;12
30.20.10.56.0001;"STRETCH FIL. 3""500X17 MAN ESPECIAL LC3";KG;Bruto;1,47;4,5;5,64288884;Stretch;12
30.20.10.56.0002;"STRETCH FIL. 3""500X19 MAN ESPECIAL LC3";KG;Bruto;1,47;4,5;5,555065914;Stretch;12
30.20.10.56.0003;"STRETCH FIL. 3""500X23 MAN ESPECIAL LC3";KG;Bruto;1,47;4,5;5,509690735;Stretch;12
30.20.10.56.0005;"STRETCH FIL. 3""500X23  MAN ESPECIAL - 3,8 KG LC3";KG;Bruto;1,47;3,8;5,357258315;Stretch;12
30.20.10.56.0006;"STRETCH FIL. 3""500X40 MAN ESPECIAL LC3";KG;Bruto;1,47;4,5;5,509690735;Stretch;12
30.20.10.56.0007;"STRETCH FIL. 3""500X30  MAN ESPECIAL - 3,8 KG LC3";KG;Bruto;1,47;3,8;5,357258315;Stretch;12
30.20.10.56.0009;"STRETCH FIL. 3""500X30 MAN ESPECIAL LC3";KG;Bruto;1,47;4,5;5,509690735;Stretch;12
30.20.10.56.0010;"STRETCH FIL. 3""500X30  MAN ESPECIAL - 5 KG LC3";KG;Bruto;1,47;5;5,592439763;Stretch;12
30.20.10.57.0001;"STRETCH FIL. 3""500X15 MAN GOLD LC3";KG;Bruto;1,1;4;6,580677847;Stretch;12
30.20.10.57.0002;"STRETCH FIL. 3""500X17 MAN GOLD LC3";KG;Bruto;1,1;4;6,241129905;Stretch;12
30.20.10.57.0003;"STRETCH FIL. 3""500X19 MAN GOLD LC3";KG;Bruto;1,1;4;6,153306979;Stretch;12
30.20.10.57.0005;"STRETCH FIL. 3""500X30 MAN GOLD LC3";KG;Bruto;1,1;4;6,1079318;Stretch;12
30.20.10.57.0006;"STRETCH FIL. 3""500X40 MAN GOLD LC3";KG;Bruto;1,1;4;6,1079318;Stretch;12
30.20.10.57.0008;"STRETCH FIL. 3""500X23 MAN GOLD/5 CONDOR LC3";KG;Bruto;1,1;5;6,153781643;Stretch;12
30.20.10.57.0009;"STRETCH FIL. 3""500X23 MAN GOLD/3 LC3";KG;Bruto;1,1;3;6,031515394;Stretch;12
30.20.10.57.0010;"STRETCH FIL. 3""500X23 MAN GOLD LC3";KG;Bruto;1,1;4;6,1079318;Stretch;12
30.20.10.58.0001;"STRETCH FIL. 3""500X17 MAN LEV LC3";KG;Bruto;0,6;4,9;6,368301549;Stretch;12
30.20.10.58.0002;"STRETCH FIL. 3""500X23 MAN LEV LC3";KG;Bruto;0,6;4,9;6,235103444;Stretch;12
30.20.10.18.0082;"STRETCH FIL. 3""500X23 MAN LEV LC2";KG;Bruto;0,6;4,9;6,235103444;Stretch;12
30.20.10.58.0003;"STRETCH FIL. 3""500X30 MAN LEV LC3";KG;Bruto;0,6;4,9;6,235103444;Stretch;12
30.20.10.58.0004;"STRETCH FIL. 3""500X15 MAN LEV LC3";KG;Bruto;0,6;4,9;6,70784949;Stretch;12
30.20.10.58.0005;"STRETCH FIL. 3""500X19 MAN LEV LC3";KG;Bruto;0,6;4,9;6,280478622;Stretch;12
30.20.10.58.0006;"STRETCH FIL. 3""500X30 MAN LEV LC3 (5KG)";KG;Bruto;0,6;5;6,237144995;Stretch;12
30.20.10.60.0003;"STRETCH FILME 3""500X30 MAQ ATX/44";KG;Bruto;1,47;44;6,126067777;Stretch;12
