CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material
30.10.10.13.0074;FITA PP AR9 45 AM 048X100 - M;100;48;4,8;;3,125093381;Fita PP
30.10.10.13.0087;FITA PP AR9 45 AM 144X1000 - M;1000;144;144;;90,42607008;Fita PP
30.10.10.14.0080;FITA PP AR9 45 AZ 024X100 - M;100;24;2,4;;1,625878608;Fita PP
30.10.10.14.0081;FITA PP AR9 45 AZ 048X050 - M;50;48;2,4;;1,621014136;Fita PP
30.10.10.14.0082;FITA PP AR9 45 AZ 048X100 - M;100;48;4,8;;3,125093381;Fita PP
30.10.10.15.0086;FITA PP AR9 45 BR 048X050 - M;50;48;2,4;;1,621014136;Fita PP
30.10.10.15.0087;FITA PP AR9 45 BR 048X100 - M;100;48;4,8;;3,125093381;Fita PP
30.10.10.15.0088;FITA PP AR9 45 BR 048X1200 - M;1200;48;57,6;;36,08337609;Fita PP
30.10.10.15.0092;FITA PP AR9 45 BR 144X1200 - M;1200;144;172,8;;108,2501283;Fita PP
30.10.10.16.0095;FITA PP AR9 45 HA 024X100 - M;100;24;2,4;;1,480200816;Fita PP
30.10.10.16.0097;FITA PP AR9 45 HA 036X100 - M;100;36;3,6;;2,220301224;Fita PP
30.10.10.16.0101;FITA PP AR9 45 HA 048X050 - M;50;48;2,4;;1,475336344;Fita PP
30.10.10.16.0106;FITA PP AR9 45 HA 048X100 - M;100;48;4,8;;2,833737797;Fita PP
30.10.10.16.0110;FITA PP AR9 45 HA 072X100 - M;100;72;7,2;;4,440602448;Fita PP
30.10.10.16.0116;FITA PP AR9 45 HA 144X1200 - M;1200;144;172,8;;97,76132723;Fita PP
30.10.10.16.0135;FITA PP AR9 45 HA 048X090 - M;90;48;4,32;;2,562896629;Fita PP
30.10.10.16.0143;FITA PP AR9 45 HA 072X100 - PERSONALIZADA;100;72;7,2;;4,440602448;Fita PP
30.10.10.16.0151;FITA PP AR9 45 HA 018X100 - M;100;18;1,8;;1,110150612;Fita PP
