CodigoProduto;NomeProduto;Comprimento;FC;FCConvertido;Custo;Material;
30.10.30.13.0122;FITA PP HM 40 TR 048X050 - PERSONALIZADA;50;48; 2,40 ;1,08;Fita PP;
30.10.30.13.0125;FITA PP HM 40 TR 048X100 - PERSONALIZADA;100;48; 4,80 ;3,14;Fita PP;
30.10.30.13.0131;FITA PP HM 40 TR 072X100 - PERSONALIZADA;100;72; 7,20 ;2,09;Fita PP;
30.10.30.13.0139;FITA PP HM 40 TR 048X300 - M ;300;48; 14,40 ;4,06;Fita PP;
30.10.30.15.0003;FITA PP HM 45 HA 024X100 - M;100;24; 2,40 ;6,28;Fita PP;
30.10.30.15.0005;FITA PP HM 45 HA 048X100 - M;100;48; 4,80 ;8,38;Fita PP;
30.10.30.15.0006;FITA PP HM 45 HA 048X1200 - M;1200;48; 57,60 ;12,19;Fita PP;
30.10.30.15.0008;FITA PP HM 45 HA 072X100 - M;100;72; 7,20 ;6,28;Fita PP;
30.10.30.15.0010;FITA PP HM 45 HA 072X1200 - M;1200;72; 86,40 ;2,09;Fita PP;
30.10.30.15.0012;FITA PP HM 45 HA 048X050 - M;50;48; 2,40 ;3,14;Fita PP;
30.10.30.15.0015;FITA PP HM 45 HA 096X100 - M;100;96; 9,60 ;2,09;Fita PP;
30.10.30.15.0018;FITA PP HM 45 HA 048X050 - PERSONALIZADA;50;48; 2,40 ;3,67;Fita PP;
30.10.30.15.0020;FITA PP HM 45 HA 048X100 - PERSONALIZADA;100;48; 4,80 ;59,06;Fita PP;
30.10.30.15.0022;FITA PP HM 45 HA 048X1200 - PERSONALIZADA;1200;48; 57,60 ;3,23;Fita PP;
30.10.30.15.0024;FITA PP HM 45 HA 072X100 - PERSONALIZADA;100;72; 7,20 ;73,78;Fita PP;
30.10.30.15.0025;FITA PP HM 45 HA 048X090 - PERSONALIZADA;90;48; 4,32 ;8,38;Fita PP;
30.10.30.16.0026;FITA PP HM 45 TR 036X100 - M;100;36; 3,60 ;142,00;Fita PP;
30.10.30.16.0027;FITA PP HM 45 TR 036X1200 - M;1200;36; 43,20 ;2,09;Fita PP;
30.10.30.16.0028;FITA PP HM 45 TR 048X050 - M;50;48; 2,40 ;4,06;Fita PP;
30.10.30.16.0035;FITA PP HM 45 TR 072X050 - M;50;72; 3,60 ;6,28;Fita PP;
30.10.30.16.0036;FITA PP HM 45 TR 072X100 - M;100;72; 7,20 ;11,95;Fita PP;
30.10.30.16.0037;FITA PP HM 45 TR 072X1200 - M;1200;72; 86,40 ;2,26;Fita PP;
30.10.30.16.0038;FITA PP HM 45 TR 096X100 - M;100;96; 9,60 ;4,40;Fita PP;
30.10.30.16.0041;FITA PP HM 45 TR 144X1200 - M;1200;144; 172,80 ;51,41;Fita PP;
30.10.30.16.0052;FITA PP HM 45 TR 036X100 - PERSONALIZADA;100;36; 3,60 ;6,79;Fita PP;
30.10.30.16.0055;FITA PP HM 45 TR 048X050 - PERSONALIZADA;50;48; 2,40 ;79,90;Fita PP;
30.10.30.16.0057;FITA PP HM 45 TR 048X100 - PERSONALIZADA;100;48; 4,80 ;2,26;Fita PP;
30.10.30.16.0059;FITA PP HM 45 TR 048X1200 - PERSONALIZADA;1200;48; 57,60 ;9,06;Fita PP;
30.10.30.16.0062;FITA PP HM 45 TR 072X050 - PERSONALIZADA;50;72; 3,60 ;2,26;Fita PP;
30.10.30.16.0064;FITA PP HM 45 TR 048X1000 - PERSONALIZADA;1000;48; 48,00 ;4,40;Fita PP;
30.10.30.16.0065;FITA PP HM 45 TR 048X1500 - PERSONALIZADA;1500;48; 72,00 ;51,41;Fita PP;
30.10.30.16.0073;FITA PP HM 45 TR 018X100 - M;100;18; 1,80 ;6,79;Fita PP;
30.10.10.16.0114;FITA PP AR9 45 HA 144X100 - M;100;144; 14,40 ;3,97;Fita PP;
30.10.10.12.0071;FITA PP AA 40 TR 024X040 - M;40;24; 0,96 ;3,40;Fita PP;
30.10.10.13.0088;FITA PP AR9 45 AM 096X100 - M;100;96; 9,60 ;39,95;Fita PP;
30.10.10.15.0106;FITA PP AR9 45 BR 072X100 - M;100;72; 7,20 ;2,26;Fita PP;
30.10.10.12.0154 ;FITA PP AA 40 TR 012X200 – M;200;12; 2,40 ;3,49;Fita PP;
30.10.30.14.0084;FITA PP HM 45 BR 144X1200 - M;1200;144; 172,80 ;6,79;Fita PP;
30.10.10.21.0204;FITA PP AR9 45 VM 048X050 - M;50;48; 2,40 ;79,90;Fita PP;
30.10.10.11.0044;FITA PP AA 40 HA 048X045 - PERSONALIZADA;45;48; 2,16 ;9,06;Fita PP;
30.10.10.14.0085;FITA PP AR9 45 AZ 096X100 - M;100;96; 9,60 ;154,23;Fita PP;
30.10.10.12.0145;FITA PP AA 40 TR 192X100 - M;100;192; 19,20 ;3,40;Fita PP;
30.10.10.13.0072;FITA PP AR9 45 AM 024X100 - M;100;24; 2,40 ;2,26;Fita PP;
30.10.20.13.0287;FITA PP AS 50 TR 072X1000 - M;1000;72; 72,00 ;4,40;Fita PP;
30.10.10.19.0196;FITA PP AR9 45 VD 024X100 - M;100;24; 2,40 ;51,41;Fita PP;
30.10.10.12.0156;FITA PP AA 40 TR 245X1200 - M;1200;245; 294,00 ;3,49;Fita PP;
30.10.10.12.0045;FITA PP AA 40 TR 048X1000 - M;1000;48; 48,00 ;42,91;Fita PP;
30.10.10.12.0077;FITA PP AA 40 TR 072X080 - M;80;72; 5,76 ;64,15;Fita PP;
30.10.10.16.0141;FITA PP AR9 45 HA 072X090 - M;90;72; 6,48 ;1,70;Fita PP;
30.10.30.13.0083;FITA PP HM 40 TR 036X1200 - M;1200;36; 43,20 ;8,50;Fita PP;
30.10.10.18.0174;FITA PP AR9 45 TR 096X1200 - M;1200;96; 115,20 ;0,56;Fita PP;
